| 種類 | 項目 | 開始年 | 使用期間 | レベル |
| --- | --- | --- | --- | --- |
| OS | Windows | 2019年 | 7年 | 手順書をもとにインストール可能 |
| OS | Linux | 2019年 | 7年 | 要件に応じた環境設計・構築が可能 |
| 言語 | Python | 2022年 | 4年 | 簡単なプログラミングが可能 |
| 言語 | PHP | 2020年 | 6年 | 簡単なプログラミングが可能 |
| 言語 | SQL | 2020年 | 6年 | 簡単なプログラミングが可能 |
| 言語 | JavaScript | 2023年 | 3年 | 簡単なプログラミングが可能 |
| DB | MySQL | 2020年 | 6年 | インストールから簡単なテーブル作成が可能 |
| パブリッククラウド | AWS | 2022年 | 4年 | 要件に合わせた設計・環境構築が可能（使用サービス: VPC, EC2, RDS, ECS, ALB, CloudWatch, IAM, S3） |
| パブリッククラウド | Google Cloud | 2023年 | 3年 | 要件に合わせた設計・環境構築が可能（使用サービス: Compute Engine, Cloud Storage, Cloud SQL, IAM） |
| 監視 | Zabbix | 2020年 | 6年 | - |
| IaC | Terraform | 2023年 | 3年 | - |
| コンテナ | Docker | 2023年 | 3年 | - |

**2025年04月〜現在｜大手小売業向け基幹システム クラウド移行対応**
**2023年07月〜2025年03月｜物流管理システム 新規構築案件**
**2022年04月〜2023年06月｜社内システム運用保守**
**2026年01月〜現在｜架空新規案件**
